,count,state,lat,long,date,urban
6576,14,US-FL,30.5282646,-84.20819940000001,2018-02-03,0
6577,2,US-FL,30.4258071,-84.31676390000001,2018-02-22,1
6578,100,US-FL,30.4258071,-84.31676390000001,2018-02-16,1
6579,50,US-FL,30.4258071,-84.31676390000001,2018-02-12,1
6580,5,US-FL,30.4258071,-84.31676390000001,2018-02-06,1
6581,5,US-FL,30.474568599999998,-84.25295859999999,2018-02-04,0
6582,8,US-FL,30.404916399999998,-84.2696504,2018-02-19,0
6583,9,US-FL,30.473014399999997,-84.2623043,2018-02-24,0
6584,2,US-FL,30.5299816,-84.2252655,2018-02-19,0
6585,3,US-FL,30.4472793,-84.27900129999999,2018-02-22,1
6586,2,US-FL,30.3111382,-84.3456192,2018-02-24,0
6587,16,US-FL,30.403682399999997,-84.3079448,2018-02-12,1
6588,2,US-FL,30.396217,-84.216161,2018-02-18,0
6589,2,US-FL,30.396217,-84.216161,2018-02-18,0
6590,3,US-FL,30.476123600000005,-84.2353427,2018-02-11,1
6591,8,US-FL,30.437123,-84.283011,2018-02-25,1
6592,2,US-FL,30.5282646,-84.20819940000001,2018-03-19,0
6593,2,US-FL,30.4431553,-84.2137527,2018-03-24,0
6594,2,US-FL,30.4514143,-84.2860413,2018-03-09,1
6595,25,US-FL,30.444382,-84.1754436,2018-03-07,0
6596,1,US-FL,30.477166200000003,-84.35908909999999,2018-03-13,1
6597,5,US-FL,30.4514143,-84.2860413,2018-03-07,1
6598,8,US-FL,30.4514143,-84.2860413,2018-03-12,1
6599,15,US-FL,30.4628978,-84.13872959999999,2018-03-31,0
6600,15,US-FL,30.4628978,-84.13872959999999,2018-03-04,0
6601,1,US-FL,30.535666,-84.28820999999999,2018-03-12,0
6602,1,US-FL,30.460867600000004,-84.2751027,2018-03-05,1
6603,4,US-FL,30.459283799999998,-84.32289890000001,2018-03-03,1
6604,14,US-FL,30.5104939,-84.3539715,2018-03-08,1
6605,1,US-FL,30.656778600000003,-84.2087889,2018-03-10,0
6606,1,US-FL,30.670838500000002,-84.2603208,2018-03-31,0
6607,1,US-FL,30.3685154,-84.2672932,2018-03-25,0
6608,2,US-FL,30.523738899999998,-84.3527222,2018-03-27,1
6609,1,US-FL,30.429779600000003,-84.30057509999999,2018-03-12,1
6610,12,US-FL,30.3685154,-84.2672932,2018-03-02,0
6611,25,US-FL,30.526459999999997,-84.01191,2018-03-10,0
6612,13,US-FL,30.526459999999997,-84.01191,2018-03-02,0
6613,30,US-FL,30.526459999999997,-84.01191,2018-03-09,0
6614,4,US-FL,30.411982000000002,-84.31939,2018-03-01,1
6615,1,US-FL,30.3685154,-84.2672932,2018-03-25,0
6616,1,US-FL,30.459283799999998,-84.32289890000001,2018-03-20,1
6617,1,US-FL,30.434012699999997,-84.35795990000001,2018-03-05,1
6618,2,US-FL,30.4729585,-84.2294007,2018-03-17,1
6619,1,US-FL,30.5299816,-84.2252655,2018-03-16,0
6620,4,US-FL,30.411982000000002,-84.31939,2018-03-13,1
6621,2,US-FL,30.447138300000002,-84.29208220000001,2018-03-26,1
6622,2,US-FL,30.5282646,-84.20819940000001,2018-03-19,0
6623,2,US-FL,30.5282646,-84.20819940000001,2018-03-30,0
6624,6,US-FL,30.5282646,-84.20819940000001,2018-03-02,0
6625,2,US-FL,30.4258071,-84.31676390000001,2018-03-08,1
6626,15,US-FL,30.526459999999997,-84.01191,2018-03-11,0
6627,38,US-FL,30.526459999999997,-84.01191,2018-03-04,0
6628,3,US-FL,30.4347,-84.2729,2018-03-29,1
6629,18,US-FL,30.4514143,-84.2860413,2018-04-26,1
6630,8,US-FL,30.4514143,-84.2860413,2018-04-20,1
6631,5,US-FL,30.4752537,-84.2664971,2018-04-18,0
6632,2,US-FL,30.459283799999998,-84.32289890000001,2018-04-02,1
6633,1,US-FL,30.438109100000002,-84.2810432,2018-04-09,1
6634,1,US-FL,30.5104939,-84.3539715,2018-04-09,1
6635,1,US-FL,30.642780300000002,-84.2024612,2018-04-14,0
6636,1,US-FL,30.4752537,-84.2664971,2018-04-20,0
6637,3,US-FL,30.438109100000002,-84.2810432,2018-04-30,1
6638,2,US-FL,30.4700393,-84.3152313,2018-04-30,1
6639,1,US-FL,30.642780300000002,-84.2024612,2018-04-14,0
6640,3,US-FL,30.469920600000002,-84.3153152,2018-04-17,1
6641,3,US-FL,30.4431553,-84.2137527,2018-04-27,0
6642,4,US-FL,30.4700393,-84.3152313,2018-04-29,1
6643,1,US-FL,30.4628978,-84.13872959999999,2018-04-07,0
6644,2,US-FL,30.469920600000002,-84.3153152,2018-04-18,1
